Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	8a94c2b6-0d89-46b5-ab54-5f3591d94d77	Detection		NeuN: Ignore*	Root object (Image)	Polygon	260.16	245.24	1330.1207	226.5862	1020.5862	247.8807	0.6626	21.3217
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	3c3455c7-c519-4fb5-990a-2fea736c3fa6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	428.7	799.44	2013.5862	431.7069	1823.3448	243.7329	0.5783	23.43
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	483ff9d8-d261-44ad-b590-9e03c43c55df	Detection		NeuN: Ignore*	Root object (Image)	Polygon	357.81	164.72	2089.7068	270.2758	1260.7413	240.6328	0.4805	27.8928
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	f85b4e8c-45f3-45d6-ba44-e1c00b6c7bef	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	435.64	641.41	7539.9639	375.1273	2012.6182	240.8745	0.4527	24.2143
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	15fdcf25-6130-4269-bd97-0fce7a50daaa	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	854.83	524.65	5481.1372	466.7451	3691.6667	236.6291	0.5355	21.9784
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	0267b0b6-8617-4391-8355-124464bfa473	Detection		NeuN: Ignore*	Root object (Image)	Polygon	878.42	530.51	2442.4727	486.4182	2805.3091	235.3567	0.3302	36.2827
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	29a0b793-2c07-4d87-861b-4f47029eb2d5	Detection		NeuN: Ignore*	Root object (Image)	Polygon	357.39	194.11	1482.902	224.7843	1040.4902	233.0014	0.5538	26.8029
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	b62bf69c-b9f6-4eb8-82aa-ec7d3a24b395	Detection		NeuN: Ignore*	Root object (Image)	Polygon	444.87	803.71	2273.2322	350.5357	1466.25	232.7503	0.6464	20.1855
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	4d561e37-bc36-4fad-addc-2e8378a91cd1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	505.81	220.15	1591.5094	254.9623	901.8302	230.3875	0.6256	23.3247
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	4d662a38-d0a5-4a0c-ae47-7b2d5d94d6c4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	819.02	719.15	2761.4822	362.9464	5863.4287	229.4924	0.6438	21.1528
