Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	cbbead2f-831d-419b-b45b-58ba17e1c4be	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	953.02	485.94	4484.2017	351.011	5641.0879	1099.7452	0.6149	44.2928
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	5c0a174b-fd6a-43c5-8d6b-ef4791c5165b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	476.39	575.23	2022.4944	347.3472	1866.4717	1088.5051	0.6851	44.3149
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	ebbcd97f-98e7-424a-b952-f53d526b7159	Detection		NeuN: Ignore*	Root object (Image)	Polygon	649	456.73	3656.6882	411.4639	8820.6504	1057.9956	0.6412	49.0322
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	f44dac06-25b3-497a-8fba-68ebf31675a7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	681.21	379.38	3464.1047	428.407	4668.5894	1049.3669	0.4879	49.3374
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	af7b8e56-7f43-42d1-a002-5fb01dbe7c6a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	489.15	342.12	2421.3027	729.8845	5525.3706	1022.8757	0.7158	39.7893
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	ce045d88-a385-4d6e-8a41-699e851520e6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	489.36	995.29	2287.2429	1054.5299	8395.5098	1018.4866	0.61	42.7266
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	6e58d92b-0970-40b0-8a90-6e858345f52c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	477.27	878.97	2560.9602	481.6032	4212.4404	1014.7377	0.6011	39.9661
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	a715df22-3ec5-4503-8474-a7c42eaedef0	Detection		NeuN: Ignore*	Root object (Image)	Polygon	701.04	520.66	2068.3135	413.4365	5185.7339	1015.4811	0.6201	45.6902
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	5053bfec-bb43-41b9-8f26-9eeede379793	Detection		NeuN: Ignore*	Root object (Image)	Polygon	386.56	554.24	1845.583	405.4737	2036.2996	999.2339	0.6625	43.4072
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	f0c47b5a-020b-46d3-bf9f-f033d2c701c7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	444.99	945.3	2250.0081	448.0694	7888.4492	993.6355	0.6304	43.025
