Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	bdd7fa2d-88b2-4833-9ec0-d6fa2ad78995	Detection		NeuN: Ignore*	Root object (Image)	Polygon	229.45	123.78	3787.4768	3599.4238	4374.0991	615.4995	0.6599	31.1775
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	98cbc386-7d31-4d0e-8b38-ed182a3a9bfb	Detection		NeuN: Ignore*	Root object (Image)	Polygon	357.51	405.03	1459.7028	434.777	3813.3242	609.746	0.6285	32.013
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	fb4875bb-2c7d-4950-89cf-f91042ba56f9	Detection		NeuN: Ignore*	Root object (Image)	Polygon	468.37	257.37	2052.9121	487.6419	4677.2231	610.49	0.6694	31.1283
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	1b7a0c49-07d9-4350-874b-a9e6ba50027e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	472.01	194.04	1788.4066	475.6867	10735.9199	604.1229	0.6435	33.0693
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	8b2b3885-70c8-441c-97b8-06c1a963ff9b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	431.42	194.95	2346.9524	561.7823	5660.9116	602.2296	0.6418	36.5017
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	f9568c07-baa3-4465-9198-910d44b3c076	Detection		NeuN: Ignore*	Root object (Image)	Polygon	433.6	247.42	2993.9443	515.9653	5110.8472	602.2429	0.7318	32.4223
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	540f3c18-9e5d-48d3-a87e-7c6778e3b5b4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	401.77	46.79	2584.5959	409.863	6094.4727	594.6375	0.6407	32.8021
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	57487b4e-a94a-4c61-a4a6-b1d31dd3022b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	273.08	169.88	2352.6042	497.0576	5454.374	587.5078	0.7107	30.4149
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	c7c4a187-0db8-4a1d-a4ed-9a898a53da60	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	78.94	382.9	4946.2256	456.4507	6652.5142	581.3365	0.6024	36.796
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	b0db5668-8cf4-4ba8-9af7-c5ae74c62416	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	363.41	235.78	4233.8271	418.4211	4659.376	568.487	0.6707	34.301
