Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	a21c5dad-1331-40dc-8f68-0c21f3a66ff5	Detection		NeuN: Ignore*	Root object (Image)	Polygon	378.15	584.88	2981.613	522.6525	7777.5537	1425.358	0.6659	50.9232
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	daa3afe1-a53b-440d-902f-63a56c3e9235	Detection		NeuN: Ignore*	Root object (Image)	Polygon	374.36	707.32	2071.656	418.0954	6268.127	1414.6123	0.6951	47.5081
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	db6ce20a-4666-422c-a9d0-3e3ae6775462	Detection		NeuN: Ignore*	Root object (Image)	Polygon	316.63	697.03	1734.1769	441.7439	11676.2168	1334.2361	0.5944	50.255
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	c991ac1f-4dbc-43f4-8c65-8148d123af59	Detection		NeuN: Ignore*	Root object (Image)	Polygon	444.18	897.32	2470.4216	468.4277	7495.8071	1333.5089	0.4833	52.4115
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	44b456d6-0d80-4799-8d89-9bb6f1be9c51	Detection		NeuN: Ignore*	Root object (Image)	Polygon	462.24	752.26	2527.6108	533.3133	6987.4209	1291.9877	0.7035	45.6747
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	b42edede-2fa6-4a4a-82b5-985825c58eb7	Detection		NeuN: Ignore*	Root object (Image)	Polygon	487.45	502.69	2205.1694	446.1229	7201.3623	1220.8909	0.6004	54.0029
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	30f2ad6d-f21b-4f77-a177-0c691978dc61	Detection		NeuN: Ignore*	Root object (Image)	Polygon	321.92	733.16	2102.301	479.4373	10060.4697	1140.0227	0.6682	44.6961
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	ec5652ca-f891-4dd3-8ed9-f8419177ca3c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	735.89	788.62	2672.4893	539.0643	8682.8682	1129.0057	0.6153	42.1371
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	b1484e05-6a6f-43f9-b858-1cc3c7e915f0	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	385.01	824.06	7265.5688	480.6729	8028.4087	1094.6221	0.5741	50.3448
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 3	ddc29225-6164-4931-be6e-a8b5671bd73c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	405.13	799.47	2732.7908	504.4563	9855.7646	1055.0829	0.6576	45.6956
