Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	6788bac8-0fdd-412a-acd9-9fb21ca99933	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	174.17	209.02	7774.9429	448.1333	2842.0286	426.4935	0.612	29.4671
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	b966a97a-a725-4017-bf67-6c34d119f594	Detection		NeuN: Ignore*	Root object (Image)	Polygon	216.65	208.43	3423.1057	614.2885	1952.3173	426.0046	0.6399	26.9866
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	24710a6c-36bb-47d1-b75a-3344cafba38d	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	381.23	241.03	5994.5249	557.7129	5853.1685	424.7632	0.6537	29.206
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	6f024a3b-3d2d-435a-a5d2-cddb298b72eb	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	444.86	150.6	8186.4414	838.8039	5685.3335	417.748	0.5758	28.9802
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	af938e59-f079-4508-b828-3e1a22b03163	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	98.37	280.81	7864.7002	561.73	4682.1699	417.6154	0.4541	36.0499
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	3e3df1e2-53cb-4aff-8f8d-f7aeed76182b	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	123.7	263.11	10718.9795	532.6938	5623.0918	416.3698	0.6119	28.8315
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	8cf24db9-1848-45bc-9d87-4cc44bdd5972	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	482.69	268.11	5786.2524	2117.0195	6156.7671	415.7552	0.5504	32.0163
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	83b9d2d6-0db4-433c-beda-52ef257f51cc	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	341.29	480.9	14168.9297	1055.6666	5171.2627	415.3852	0.5861	30.4136
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	fcc6e932-0bb8-4721-b303-063565b7b5f9	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	262.36	474.21	18840.293	638.8485	5718.5352	414.3614	0.6898	27.873
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	13eb4e13-3026-43d0-8ca6-038ec0f2e143	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	432.93	128.9	8291.041	476.4639	6102.7734	413.5093	0.6548	26.3552
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	0aef1c7c-43ee-4c53-ad46-de75313afc39	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	141.81	240.39	9761.4043	453.9091	5863.6362	408.6197	0.5646	30.8786
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	49bf37ec-c0c0-42a9-827d-29416560f649	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	354.74	176.81	10180.6768	897.1414	3894.5657	407.2381	0.7283	24.8981
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	4f1a0a72-ec01-4a62-8466-dba2ba5d29ce	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	374.95	207.78	4174.4019	559.0103	3455.8145	406.4992	0.6607	25.8127
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	c3c4ada5-aa1f-4713-9dc8-070d05db333f	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	242.43	379.43	10521.7754	399.1327	2339.2246	403.3834	0.6034	30.7628
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	c79b10be-6fce-47be-a632-ee279c9cd872	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	255.41	278.76	8807.416	420.297	4223.5942	395.8721	0.6093	29.127
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	c499e02f-ea2a-41ff-a620-bdc34bc28664	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	391.34	164.15	11830.7451	481.2234	3490.5425	395.1168	0.5246	29.7184
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	7ee318eb-b6e7-4d73-a352-20c12d7059a5	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	287.52	425.46	11044.0107	369.883	3052.1914	394.2595	0.3281	39.8017
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	1a4d1cec-73ca-409e-87f9-003446aa3fa6	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	310.14	252.98	7875.2129	529.7553	3567	392.4893	0.6225	26.8829
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	fe074475-dadb-45a4-989f-facc27f92b14	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	390.62	128.62	7405.415	426.3936	4020	391.9954	0.6646	26.3173
