Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	e69258dc-23b6-4ec0-936c-2529f05f00e4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	392.07	821.69	2065.5142	563.2429	5835.7856	994.6266	0.6389	40.8448
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	9d59429d-d238-49d1-80e9-d47c8f21bb9f	Detection		NeuN: Ignore*: TREK1	Root object (Image)	Polygon	483.18	848.46	2746.1687	10024.1055	1735.1097	977.9906	0.6154	44.3833
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	ddc5cf52-c139-46f2-a983-25ae96329fca	Detection		NeuN: Ignore*	Root object (Image)	Polygon	328.54	600.75	1374.8992	1207.1387	4304.416	961.7076	0.576	45.4571
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	ff47b0e4-2056-46ab-ac4b-cfc6e4847601	Detection		NeuN: Ignore*	Root object (Image)	Polygon	606.76	321.54	1913.2545	496.6786	7374.3125	951.8623	0.6452	43.1157
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	43d122fe-91d1-4ce3-97f7-60f954abd248	Detection		NeuN: Ignore*	Root object (Image)	Polygon	470.33	440.38	1975.3107	484.4255	5276.9277	950.3743	0.6624	39.4888
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	49312dee-1859-4ab3-9eac-61bfc8d161c1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	419.12	888.01	2047.4652	544.2	3123.3435	936.3734	0.5365	51.4798
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	43d31aeb-2bf5-4e36-8f66-f86272dfa8c4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	444.89	842.39	2194.856	727.0917	4559	933.2775	0.6653	39.7753
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	f87c8b97-2527-4088-9891-08102699ddb9	Detection		NeuN: Ignore*	Root object (Image)	Polygon	306.63	479.61	2583.4434	604.7647	5242.1763	921.2529	0.6478	43.3418
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	a18a3844-c78c-4c9d-8af1-1ac4209d5d60	Detection		NeuN: Ignore*	Root object (Image)	Polygon	663.66	688.53	2963.9309	542.4747	2698.8848	911.7639	0.5584	51.7422
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	d95f5306-cf02-475e-a4d9-10a1fd1289e6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	340.57	918.5	3004.8149	559.9692	4776.0264	909.0264	0.6426	41.2711
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	5ad2f1ea-9e29-45df-8f6c-0335bad385fa	Detection		NeuN: Ignore*	Root object (Image)	Polygon	904.6	508.87	2614.5601	494.6044	5600.751	892.2369	0.625	38.9862
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	a082611a-4226-4474-97fc-9e5b5ba14613	Detection		NeuN: Ignore*	Root object (Image)	Polygon	696.4	459.23	2029.8157	914.4147	6087.1431	885.3687	0.6577	37.5826
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	9490774c-1b4b-4b1a-833b-35f10e0db7db	Detection		NeuN: Ignore*	Root object (Image)	Polygon	246.96	674.27	2354.8103	572.3426	4488.9351	883.621	0.6221	39.8946
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	1a327928-5b0e-473f-9ce8-fe80099cb147	Detection		NeuN: Ignore*	Root object (Image)	Polygon	591.22	802.51	1587.3271	625.9447	2826.1567	881.2546	0.6143	43.4378
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	5b31daf1-4c82-4fb6-9e69-92fd15b6363e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	392.41	453.88	2046.8533	419.8532	5107.353	880.7444	0.6234	40.1059
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	fb8526c0-a255-4b66-865f-227a775363d6	Detection		NeuN: Ignore*: TREK1	Root object (Image)	Polygon	457.15	606.88	2374.1636	13225.21	1782.1589	873.3959	0.596	44.3571
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	9046ad84-3df4-4e2e-adb8-deccfe8385cf	Detection		NeuN: Ignore*	Root object (Image)	Polygon	917.53	656.51	3218.8	411.8	3366.6279	871.3959	0.6191	42.8786
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	e67f1b9f-c6c4-4dd9-bc3f-4399e8e79ff6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	584.54	386.17	1511.4258	368.1914	7143.2441	863.73	0.6514	40.6974
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	7f0076e4-26bd-4685-a497-f15def5000ee	Detection		NeuN: Ignore*	Root object (Image)	Polygon	505.55	743.23	1513.3762	518.0095	3862.6572	862.2571	0.6593	39.1816
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	c53dc589-9502-4d88-8ebb-f9e4c8e3140f	Detection		NeuN: Ignore*	Root object (Image)	Polygon	291.3	816.86	2007.8462	544.6442	6106.0049	857.2287	0.6656	38.8578
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	b665e5b9-424d-480f-ac16-f9a1a536d15c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	581.72	462.35	1787.4741	409.9765	5693	850.6289	0.6584	41.1077
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	d90cf292-61ba-4748-a0c7-f2e3c04ab6f3	Detection		NeuN: Ignore*	Root object (Image)	Polygon	593.03	350.42	1647.4904	407.9183	4539.3799	845.5035	0.5649	42.8565
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	dd9b1fd7-b9e0-4a12-a90a-94fb848a284a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	853.48	633.02	2075.1858	551.2429	4564.5669	843.2566	0.6231	41.5438
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	dd17a3b6-05fc-4eb4-8fd8-bf0e406c4be6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	742.04	416.33	3941.3574	489.6183	6059.2852	836.1218	0.6162	40.7842
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	2c700c65-9da6-4cd9-83dd-0c27911e854f	Detection		NeuN: Ignore*	Root object (Image)	Polygon	871.44	603.82	2373.4878	3603.0684	3537.3708	819.0607	0.6261	39.9674
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	6524748c-88c6-47d7-a278-5c56ea0e7a94	Detection		NeuN: Ignore*	Root object (Image)	Polygon	442.6	403.25	2498.2415	688.2365	6500.2905	826.3627	0.7157	35.2994
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	9b852bb0-9717-4cd6-b013-cbbd11ec6182	Detection		NeuN: Ignore*	Root object (Image)	Polygon	752.97	520.65	2286.3669	591.2462	5387.4424	815.1075	0.615	39.1471
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	9b08fcb3-d5d3-4f79-be25-adbd601621d7	Detection		NeuN: Ignore*: TREK1	Root object (Image)	Polygon	302.57	748.83	3869.9851	21005.1387	3506.406	814.2407	0.6588	35.9368
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	0f789670-b9a0-49f9-8c4c-12e88efb9054	Detection		NeuN: Ignore*	Root object (Image)	Polygon	562.3	422.73	1958.5781	484.9635	4525.6304	797.6278	0.5294	39.1121
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	c44ceaf1-6d6f-421e-b6c6-a946bcfd1b14	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	321.22	893.44	4252.021	508.0052	5840.3179	787.7377	0.4959	48.0694
